UNIQUEID,REGION,STATE,PERCENTILE,TOP5PCT,HHNUMBR,AGES5TO18,pctPopulation,LIVINGQRTS,TENURETYPE,PROPERTYVALUE,LOWERRENT,HOUSINGPROJECT,FOODSTAMPS,ENGERGYASST,pctFRval,pctSEval,pctWSval,pctOIval,pctANNval,pctCSPval,pctDISval,pctDIVval,pctSDTval,pctEDval,pctFINval,pctINTval,pctPAWval,pctPENval,pctRNTval,pctSSIval,pctSSval,pctSURval,pctUCval,pctVETval,pctWCval,pctTotal ,pctPopPercent,HTOTVAL
30396520167020905011,1,23,4,2,2,1,0.001457726,1,0,0,No Rental Assistance,Public Houseing Project ,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,18899
33562090679100205011,1,23,5,2,2,0,0.001457726,1,0,0,No Rental Assistance,Public Houseing Project ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0.08,0,1,0.5,26299
98133801512065006011,1,23,10,2,4,1,0.002915452,1,1,60000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,53400
18851203013690506011,1,23,16,2,2,0,0.001457726,1,1,60000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.99,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,106014
20515061200937606111,1,23,10,2,4,1,0.002915452,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,1,0.25,52901
23203314050210505011,1,23,2,2,1,0,0.000728863,5,1,2500,No Rental Assistance,Not a Public Housing Project,2052,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.93,0,0,0,0,1,1,10979
91193400932060906011,1,23,18,2,2,0,0.001457726,1,1,80000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0.5,168102
99369940101020306011,1,23,19,2,9,5,0.006559767,1,1,350000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,178000
20200061709639705111,1,23,5,2,1,0,0.000728863,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,1,1,24276
40121025031093306011,1,23,17,2,6,4,0.004373178,1,1,90000,No Rental Assistance,Not a Public Housing Project,3840,0,0,0.23,0.39,0,0,0.06,0.13,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.13,0.98,0.16,128846
